,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Date
0,2022,3,Buenos Aires,"78,11",1/9/2022
1,2022,3,Capital Federal,"122,28",1/9/2022
2,2022,3,Catamarca,"65,33",1/9/2022
3,2022,3,Chaco,"43,86",1/9/2022
4,2022,3,Chubut,"84,38",1/9/2022
5,2022,3,Córdoba,"88,31",1/9/2022
6,2022,3,Corrientes,"48,21",1/9/2022
7,2022,3,Entre Ríos,"63,67",1/9/2022
8,2022,3,Formosa,"43,76",1/9/2022
9,2022,3,Jujuy,"58,91",1/9/2022
10,2022,3,La Pampa,"96,59",1/9/2022
11,2022,3,La Rioja,"80,66",1/9/2022
12,2022,3,Mendoza,"51,03",1/9/2022
13,2022,3,Misiones,"51,82",1/9/2022
14,2022,3,Neuquén,"80,37",1/9/2022
15,2022,3,Río Negro,"67,98",1/9/2022
16,2022,3,Salta,"57,76",1/9/2022
17,2022,3,San Juan,"50,8",1/9/2022
18,2022,3,San Luis,"81,74",1/9/2022
19,2022,3,Santa Cruz,"43,19",1/9/2022
20,2022,3,Santa Fe,"78,55",1/9/2022
21,2022,3,Santiago Del Estero,"47,98",1/9/2022
22,2022,3,Tierra Del Fuego,"99,51",1/9/2022
23,2022,3,Tucumán,"61,14",1/9/2022
24,2022,2,Buenos Aires,"77,58",1/6/2022
25,2022,2,Capital Federal,"121,31",1/6/2022
26,2022,2,Catamarca,"62,4",1/6/2022
27,2022,2,Chaco,"43,79",1/6/2022
28,2022,2,Chubut,"83,19",1/6/2022
29,2022,2,Córdoba,"87,48",1/6/2022
30,2022,2,Corrientes,"48,35",1/6/2022
31,2022,2,Entre Ríos,"63,9",1/6/2022
32,2022,2,Formosa,"43,42",1/6/2022
33,2022,2,Jujuy,"57,32",1/6/2022
34,2022,2,La Pampa,"92,98",1/6/2022
35,2022,2,La Rioja,"80,14",1/6/2022
36,2022,2,Mendoza,"49,39",1/6/2022
37,2022,2,Misiones,51,1/6/2022
38,2022,2,Neuquén,"80,02",1/6/2022
39,2022,2,Río Negro,"67,85",1/6/2022
40,2022,2,Salta,"57,54",1/6/2022
41,2022,2,San Juan,"49,46",1/6/2022
42,2022,2,San Luis,"81,76",1/6/2022
43,2022,2,Santa Cruz,"43,15",1/6/2022
44,2022,2,Santa Fe,"77,9",1/6/2022
45,2022,2,Santiago Del Estero,"47,7",1/6/2022
46,2022,2,Tierra Del Fuego,"99,86",1/6/2022
47,2022,2,Tucumán,"59,31",1/6/2022
48,2022,1,Buenos Aires,"76,08",1/1/2022
49,2022,1,Capital Federal,"111,8",1/1/2022
50,2022,1,Catamarca,"58,21",1/1/2022
51,2022,1,Chaco,"44,06",1/1/2022
52,2022,1,Chubut,"88,05",1/1/2022
53,2022,1,Córdoba,"85,76",1/1/2022
54,2022,1,Corrientes,"47,64",1/1/2022
55,2022,1,Entre Ríos,"63,7",1/1/2022
56,2022,1,Formosa,"34,96",1/1/2022
57,2022,1,Jujuy,"58,06",1/1/2022
58,2022,1,La Pampa,"91,66",1/1/2022
59,2022,1,La Rioja,"78,77",1/1/2022
60,2022,1,Mendoza,"48,74",1/1/2022
61,2022,1,Misiones,"49,04",1/1/2022
62,2022,1,Neuquén,"74,17",1/1/2022
63,2022,1,Río Negro,"67,04",1/1/2022
64,2022,1,Salta,"56,11",1/1/2022
65,2022,1,San Juan,"43,55",1/1/2022
66,2022,1,San Luis,"80,72",1/1/2022
67,2022,1,Santa Cruz,"43,34",1/1/2022
68,2022,1,Santa Fe,"77,3",1/1/2022
69,2022,1,Santiago Del Estero,"47,17",1/1/2022
70,2022,1,Tierra Del Fuego,"98,29",1/1/2022
71,2022,1,Tucumán,"57,39",1/1/2022
72,2021,4,Buenos Aires,"75,66",1/12/2021
73,2021,4,Capital Federal,"111,27",1/12/2021
74,2021,4,Catamarca,"55,25",1/12/2021
75,2021,4,Chaco,"44,05",1/12/2021
76,2021,4,Chubut,"82,57",1/12/2021
77,2021,4,Córdoba,"84,51",1/12/2021
78,2021,4,Corrientes,"45,51",1/12/2021
79,2021,4,Entre Ríos,"63,16",1/12/2021
80,2021,4,Formosa,"34,45",1/12/2021
81,2021,4,Jujuy,"56,92",1/12/2021
82,2021,4,La Pampa,"89,57",1/12/2021
83,2021,4,La Rioja,"77,92",1/12/2021
84,2021,4,Mendoza,"47,51",1/12/2021
85,2021,4,Misiones,"49,06",1/12/2021
86,2021,4,Neuquén,"73,3",1/12/2021
87,2021,4,Río Negro,"65,69",1/12/2021
88,2021,4,Salta,"56,81",1/12/2021
89,2021,4,San Juan,"39,59",1/12/2021
90,2021,4,San Luis,"80,3",1/12/2021
91,2021,4,Santa Cruz,"43,05",1/12/2021
92,2021,4,Santa Fe,"77,09",1/12/2021
93,2021,4,Santiago Del Estero,"47,05",1/12/2021
94,2021,4,Tierra Del Fuego,"98,4",1/12/2021
95,2021,4,Tucumán,"55,93",1/12/2021
96,2021,3,Buenos Aires,"71,68",1/9/2021
97,2021,3,Capital Federal,"111,27",1/9/2021
98,2021,3,Catamarca,"52,71",1/9/2021
99,2021,3,Chaco,"42,96",1/9/2021
100,2021,3,Chubut,"80,71",1/9/2021
101,2021,3,Córdoba,"81,28",1/9/2021
102,2021,3,Corrientes,"44,9",1/9/2021
103,2021,3,Entre Ríos,"62,18",1/9/2021
104,2021,3,Formosa,"33,96",1/9/2021
105,2021,3,Jujuy,"55,69",1/9/2021
106,2021,3,La Pampa,"84,28",1/9/2021
107,2021,3,La Rioja,"77,26",1/9/2021
108,2021,3,Mendoza,"45,55",1/9/2021
109,2021,3,Misiones,"45,57",1/9/2021
110,2021,3,Neuquén,"69,71",1/9/2021
111,2021,3,Río Negro,"61,97",1/9/2021
112,2021,3,Salta,"55,96",1/9/2021
113,2021,3,San Juan,"39,46",1/9/2021
114,2021,3,San Luis,"79,87",1/9/2021
115,2021,3,Santa Cruz,"43,75",1/9/2021
116,2021,3,Santa Fe,"75,02",1/9/2021
117,2021,3,Santiago Del Estero,47,1/9/2021
118,2021,3,Tierra Del Fuego,"94,95",1/9/2021
119,2021,3,Tucumán,"54,64",1/9/2021
120,2021,2,Buenos Aires,70,1/6/2021
121,2021,2,Capital Federal,"110,14",1/6/2021
122,2021,2,Catamarca,"52,34",1/6/2021
123,2021,2,Chaco,"43,33",1/6/2021
124,2021,2,Chubut,"72,29",1/6/2021
125,2021,2,Córdoba,"80,12",1/6/2021
126,2021,2,Corrientes,"43,54",1/6/2021
127,2021,2,Entre Ríos,"61,66",1/6/2021
128,2021,2,Formosa,"33,23",1/6/2021
129,2021,2,Jujuy,"56,18",1/6/2021
130,2021,2,La Pampa,"82,08",1/6/2021
131,2021,2,La Rioja,"76,98",1/6/2021
132,2021,2,Mendoza,"40,97",1/6/2021
133,2021,2,Misiones,"45,01",1/6/2021
134,2021,2,Neuquén,"69,14",1/6/2021
135,2021,2,Río Negro,"61,94",1/6/2021
136,2021,2,Salta,"54,93",1/6/2021
137,2021,2,San Juan,"39,28",1/6/2021
138,2021,2,San Luis,"83,48",1/6/2021
139,2021,2,Santa Cruz,"44,01",1/6/2021
140,2021,2,Santa Fe,"75,07",1/6/2021
141,2021,2,Santiago Del Estero,"46,56",1/6/2021
142,2021,2,Tierra Del Fuego,"67,89",1/6/2021
143,2021,2,Tucumán,"54,93",1/6/2021
144,2021,1,Buenos Aires,"69,11",1/3/2021
145,2021,1,Capital Federal,"108,42",1/3/2021
146,2021,1,Catamarca,"48,9",1/3/2021
147,2021,1,Chaco,"43,14",1/3/2021
148,2021,1,Chubut,"68,99",1/3/2021
149,2021,1,Córdoba,"78,59",1/3/2021
150,2021,1,Corrientes,"42,66",1/3/2021
151,2021,1,Entre Ríos,"60,44",1/3/2021
152,2021,1,Formosa,"32,73",1/3/2021
153,2021,1,Jujuy,"55,63",1/3/2021
154,2021,1,La Pampa,"81,78",1/3/2021
155,2021,1,La Rioja,"49,81",1/3/2021
156,2021,1,Mendoza,"39,15",1/3/2021
157,2021,1,Misiones,"43,17",1/3/2021
158,2021,1,Neuquén,"66,84",1/3/2021
159,2021,1,Río Negro,"60,88",1/3/2021
160,2021,1,Salta,"53,93",1/3/2021
161,2021,1,San Juan,"39,06",1/3/2021
162,2021,1,San Luis,"81,24",1/3/2021
163,2021,1,Santa Cruz,"41,65",1/3/2021
164,2021,1,Santa Fe,"73,92",1/3/2021
165,2021,1,Santiago Del Estero,"45,67",1/3/2021
166,2021,1,Tierra Del Fuego,"77,35",1/3/2021
167,2021,1,Tucumán,"54,82",1/3/2021
168,2020,4,Buenos Aires,"68,98",1/12/2020
169,2020,4,Capital Federal,"108,31",1/12/2020
170,2020,4,Catamarca,"49,41",1/12/2020
171,2020,4,Chaco,"43,03",1/12/2020
172,2020,4,Chubut,"68,35",1/12/2020
173,2020,4,Córdoba,"78,08",1/12/2020
174,2020,4,Corrientes,"42,43",1/12/2020
175,2020,4,Entre Ríos,"59,47",1/12/2020
176,2020,4,Formosa,"32,49",1/12/2020
177,2020,4,Jujuy,"53,46",1/12/2020
178,2020,4,La Pampa,"81,77",1/12/2020
179,2020,4,La Rioja,"50,11",1/12/2020
180,2020,4,Mendoza,"38,63",1/12/2020
181,2020,4,Misiones,"42,64",1/12/2020
182,2020,4,Neuquén,67,1/12/2020
183,2020,4,Río Negro,"61,09",1/12/2020
184,2020,4,Salta,"54,04",1/12/2020
185,2020,4,San Juan,"36,32",1/12/2020
186,2020,4,San Luis,"81,68",1/12/2020
187,2020,4,Santa Cruz,37,1/12/2020
188,2020,4,Santa Fe,"73,58",1/12/2020
189,2020,4,Santiago Del Estero,"43,75",1/12/2020
190,2020,4,Tierra Del Fuego,"76,27",1/12/2020
191,2020,4,Tucumán,"54,78",1/12/2020
192,2020,3,Buenos Aires,"67,66",1/9/2020
193,2020,3,Capital Federal,"107,68",1/9/2020
194,2020,3,Catamarca,"47,16",1/9/2020
195,2020,3,Chaco,"41,54",1/9/2020
196,2020,3,Chubut,"68,34",1/9/2020
197,2020,3,Córdoba,"75,22",1/9/2020
198,2020,3,Corrientes,"41,75",1/9/2020
199,2020,3,Entre Ríos,"58,19",1/9/2020
200,2020,3,Formosa,"31,91",1/9/2020
201,2020,3,Jujuy,"54,04",1/9/2020
202,2020,3,La Pampa,"79,26",1/9/2020
203,2020,3,La Rioja,"50,12",1/9/2020
204,2020,3,Mendoza,"37,35",1/9/2020
205,2020,3,Misiones,"41,6",1/9/2020
206,2020,3,Neuquén,"65,24",1/9/2020
207,2020,3,Río Negro,"57,05",1/9/2020
208,2020,3,Salta,"52,32",1/9/2020
209,2020,3,San Juan,"38,79",1/9/2020
210,2020,3,San Luis,"79,96",1/9/2020
211,2020,3,Santa Cruz,"35,95",1/9/2020
212,2020,3,Santa Fe,"72,12",1/9/2020
213,2020,3,Santiago Del Estero,"43,38",1/9/2020
214,2020,3,Tierra Del Fuego,"76,81",1/9/2020
215,2020,3,Tucumán,"53,23",1/9/2020
216,2020,2,Buenos Aires,"65,22",1/6/2020
217,2020,2,Capital Federal,"106,41",1/6/2020
218,2020,2,Catamarca,"45,43",1/6/2020
219,2020,2,Chaco,"39,83",1/6/2020
220,2020,2,Chubut,"57,34",1/6/2020
221,2020,2,Córdoba,"72,71",1/6/2020
222,2020,2,Corrientes,"40,3",1/6/2020
223,2020,2,Entre Ríos,"56,54",1/6/2020
224,2020,2,Formosa,"31,14",1/6/2020
225,2020,2,Jujuy,"47,89",1/6/2020
226,2020,2,La Pampa,"76,1",1/6/2020
227,2020,2,La Rioja,"49,84",1/6/2020
228,2020,2,Mendoza,"36,25",1/6/2020
229,2020,2,Misiones,"40,89",1/6/2020
230,2020,2,Neuquén,"63,9",1/6/2020
231,2020,2,Río Negro,"56,37",1/6/2020
232,2020,2,Salta,"51,58",1/6/2020
233,2020,2,San Juan,"35,09",1/6/2020
234,2020,2,San Luis,"78,41",1/6/2020
235,2020,2,Santa Cruz,"35,79",1/6/2020
236,2020,2,Santa Fe,70,1/6/2020
237,2020,2,Santiago Del Estero,"43,47",1/6/2020
238,2020,2,Tierra Del Fuego,"76,37",1/6/2020
239,2020,2,Tucumán,"51,78",1/6/2020
240,2020,1,Buenos Aires,"64,33",1/3/2020
241,2020,1,Capital Federal,"105,98",1/3/2020
242,2020,1,Catamarca,"37,62",1/3/2020
243,2020,1,Chaco,"37,48",1/3/2020
244,2020,1,Chubut,"51,27",1/3/2020
245,2020,1,Córdoba,"70,69",1/3/2020
246,2020,1,Corrientes,"38,73",1/3/2020
247,2020,1,Entre Ríos,"56,12",1/3/2020
248,2020,1,Formosa,"30,23",1/3/2020
