,Año,Trimestre,Mbps (Media de bajada),Date
0,2022,3,62.46,1/9/2022
1,2022,2,58.44,1/6/2022
2,2022,1,55.11,1/1/2022
3,2021,4,52.34,1/12/2021
4,2021,3,48.46,1/9/2021
5,2021,2,45.63,1/6/2021
6,2021,1,43.11,1/3/2021
7,2020,4,42.36,1/12/2020
8,2020,3,40.67,1/9/2020
9,2020,2,38.32,1/6/2020
10,2020,1,37.52,1/3/2020
11,2019,4,28.26,1/12/2019
12,2019,3,24.18,1/9/2019
13,2019,2,20.33,1/6/2019
14,2019,1,17.38,1/3/2019
15,2018,4,15.95,1/12/2018
16,2018,3,15.36,1/9/2018
17,2018,2,13.85,1/6/2018
18,2018,1,13.22,1/3/2018
19,2017,4,12.01,1/12/2017
20,2017,3,8.34,1/9/2017
21,2017,2,7.16,1/6/2017
22,2017,1,6.62,1/3/2017
23,2016,4,6.34,1/12/2016
24,2016,3,5.94,1/9/2016
25,2016,2,5.42,1/6/2016
26,2016,1,5.08,1/3/2016
27,2015,4,4.99,1/12/2015
28,2015,3,4.79,1/9/2015
29,2015,2,4.55,1/6/2015
30,2015,1,4.35,1/3/2015
31,2014,4,4.16,1/12/2014
32,2014,3,3.87,1/9/2014
33,2014,2,3.76,1/6/2014
34,2014,1,3.62,1/3/2014
