,Año,Trimestre,Mbps (Media de bajada)
0,2022,3,62.46
1,2022,2,58.44
2,2022,1,55.11
3,2021,4,52.34
4,2021,3,48.46
5,2021,2,45.63
6,2021,1,43.11
7,2020,4,42.36
8,2020,3,40.67
9,2020,2,38.32
10,2020,1,37.52
11,2019,4,28.26
12,2019,3,24.18
13,2019,2,20.33
14,2019,1,17.38
15,2018,4,15.95
16,2018,3,15.36
17,2018,2,13.85
18,2018,1,13.22
19,2017,4,12.01
20,2017,3,8.34
21,2017,2,7.16
22,2017,1,6.62
23,2016,4,6.34
24,2016,3,5.94
25,2016,2,5.42
26,2016,1,5.08
27,2015,4,4.99
28,2015,3,4.79
29,2015,2,4.55
30,2015,1,4.35
31,2014,4,4.16
32,2014,3,3.87
33,2014,2,3.76
34,2014,1,3.62
